Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],PercentChange0116,PercentChange1116
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,31.74112,,,,,,,,
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,,,13175.18945,,14666.33861,14589.06975,14351.5162,14301.37026,,,0.085477391
Afghanistan,AFG,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,6.68899,,,4.6651,,4.45798,4.52701,,-0.333534659
Afghanistan,AFG,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,23.15362,,,,,,,,
Afghanistan,AFG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,46.99005,,,,,,,,
Afghanistan,AFG,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Afghanistan,AFG,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Afghanistan,AFG,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,,,,,,
Afghanistan,AFG,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,46.1909,46.0584,46.19837,43.97317,48.59792,,
Albania,ALB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,131956.6805,143777.4757,237622.8237,,244258.2025,249107.4797,255396.7087,264425.9762,,0.839133529,0.112797046
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,98.71298,96.8453,97.24697,,,,,,,
Albania,ALB,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Albania,ALB,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,99.42175,98.61158,98.9171,,,,,,,
Albania,ALB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,99.43515,98.79119,99.2314,,,,,,,
Albania,ALB,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,95.38335,93.86551,89.02756,92.22075,95.41897,97.59204,97.79873,97.65542,97.77841,0.040375959,0.096912237
Albania,ALB,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,42.77841,45.23442,65.76584,71.85747,75.29489,76.55601,76.12273,80.88931,79.85382,0.788224763,0.229959353
Albania,ALB,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,92.87833,93.68429,,,94.57338,94.75782,96.94159,94.82611,93.92736,0.012187956,
Albania,ALB,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,66.69051,68.41048,,,84.39599,86.39145,87.38842,86.48091,86.6726,0.264147101,
Algeria,DZA,GDP per capita (constant LCU),NY.GDP.PCAP.KN,107809.2292,109616.6249,137153.9349,,139933.5823,142359.0244,144907.6125,146981.825,,0.340871653,0.071655911
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
Algeria,DZA,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Algeria,DZA,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
Algeria,DZA,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Algeria,DZA,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,90.74774,92.74897,99.08721,99.14995,99.27681,99.24597,99.31588,99.27519,99.48537,0.070364339,0.001897117
Algeria,DZA,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,2.70938,3.37811,72.37997,,,,,,,,
Algeria,DZA,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,,,,,,
Algeria,DZA,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,,,,,,,
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
American Samoa,ASM,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
American Samoa,ASM,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
American Samoa,ASM,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
American Samoa,ASM,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
American Samoa,ASM,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
American Samoa,ASM,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,,,,,,
American Samoa,ASM,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,,,,,,,
Andorra,AND,GDP per capita (constant LCU),NY.GDP.PCAP.KN,23809.90977,24171.30723,22295.13677,,22819.47814,23800.28527,24372.6767,24907.0276,,0.030437757,0.117150698
Andorra,AND,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,
Andorra,AND,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Andorra,AND,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
Andorra,AND,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Andorra,AND,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Andorra,AND,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Andorra,AND,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,,,,,,
Andorra,AND,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,,,,,,,
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,27935.74173,28181.0997,57474.47771,,60165.28446,60837.61378,60550.90338,58069.49355,56582.31381,1.06058295,0.010352697
Angola,AGO,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,67.40542,,,,66.03011,,,,,
Angola,AGO,GDP per capita (constant LCU),NY.GDP.PCAP.KN,34116.64158,34421.22908,57474.37968,,60136.10869,60866.4798,60583.8875,58187.90334,,0.690465591,0.012414639
Angola,AGO,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Angola,AGO,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,66.70624,,,,62.4702,,,,,
Angola,AGO,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,72.19449,,,,77.43113,,,,,
Angola,AGO,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,81.59927,,,,,,,,
Angola,AGO,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,54.82748,,,,,31.49546,,,-0.42555339
Angola,AGO,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,,,,,,
Angola,AGO,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,28935.01268,27025.28422,28471.07053,,28805.33816,29953.15904,30842.41666,32155.49162,32886.8437,0.189829915,0.129409292
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,98.95,,,,,98.95,,,,
Antigua and Barbuda,ATG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,28935.01243,27025.28379,28471.07053,,28805.33816,29953.15904,30842.41666,32155.49162,,0.189829934,0.129409292
Antigua and Barbuda,ATG,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,52.25152,,31.46998,31.08016,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,
Antigua and Barbuda,ATG,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,
Antigua and Barbuda,ATG,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,98.27313,95.54568,,94.43286,98.781,,97.55055,,
Antigua and Barbuda,ATG,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,38.761,,71.23443,77.88035,,74.84076,77.15718,,72.65406,,
Antigua and Barbuda,ATG,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,,,,,,97.90122,98.7003,,95.31472,,
Antigua and Barbuda,ATG,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,70.69304,,,,,83.36424,86.00054,,87.74032,,
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,64.12604,65.35204,71.37224,72.48431,72.74568,73.32167,73.74158,74.15789,,0.134744837,0.039029881
Arab World,ARB,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Arab World,ARB,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,59.76897,61.25994,69.42762,70.71779,71.24262,72.03669,72.65876,73.28121,,0.196233787,0.055505143
Arab World,ARB,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,80.61563,81.56403,82.62586,83.70435,84.41675,84.64643,84.79429,84.9456,,0.041459084,0.02807523
Arab World,ARB,"Total net enrolment rate, primary, both sexes (%)",UIS.NERT.1,,,,,,,,,,,
Arab World,ARB,"Net enrolment rate, pre-primary, both sexes (%)",SE.PRE.NENR,,,,,,,,,,,
Arab World,ARB,"Total net enrolment rate, lower secondary, both sexes (%)",UIS.NERT.2,71.5143,72.22116,79.73168,82.52852,79.02259,80.72417,81.15021,81.69571,81.12346,0.131188006,0.024632994
Arab World,ARB,"Net enrolment rate, secondary, both sexes (%)",SE.SEC.NENR,51.67246,52.86477,62.77457,62.91259,61.34827,61.80656,62.1789,62.51796,62.53322,0.18260157,-0.004087802
Argentina,ARG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,12951.67587,12243.85203,17062.76644,,16934.84662,16339.72293,16603.75639,16071.8964,,0.312650329,-0.058072063
Argentina,ARG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,97.19331,99.10833,99.10523,99.12195,98.99389,99.17996,99.12501,,0.019874825,0.000168301
Argentina,ARG,"Gross enrolment ratio, post-secondary non-tertiary, both sexes (%)",UIS.GER.4,,,,,,,,,,,
Argentina,ARG,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,97.26172,99.28843,99.18616,99.30061,99.20745,99.28286,99.29682,,0.020923957,8.45E-05
